Frame,Sprite,Mover,FPS,Transform,Camera,Player,
116,0.0143174,0.003535,45.4545,1e-007,4e-006,4.5e-006,
117,0.0141199,0.0035642,45.4545,0,2.9e-006,4.3e-006,
118,0.0143269,0.0039477,45.4545,1e-007,3.8e-006,4.8e-006,
119,0.0144614,0.0036223,40,2e-007,3.5e-006,4.6e-006,
120,0.0146797,0.0036446,45.4545,0,2.9e-006,4.3e-006,
121,0.0146269,0.0036975,41.6667,1e-007,4.2e-006,4.8e-006,
122,0.0154714,0.0037252,43.4783,0,3.2e-006,4.4e-006,
123,0.0150307,0.0038444,41.6667,1e-007,3.8e-006,4.1e-006,
124,0.0150113,0.0038302,41.6667,1e-007,3.1e-006,4.3e-006,
125,0.0150529,0.0039743,43.4783,2e-007,3.3e-006,4.6e-006,
126,0.0159899,0.0039136,40,0,3.3e-006,4.2e-006,
127,0.015379,0.0039279,40,1e-007,3e-006,4.2e-006,
128,0.0155173,0.0039242,41.6667,0,3.4e-006,4.4e-006,
129,0.0157202,0.0039491,40,1e-007,4e-006,4.1e-006,
130,0.0158549,0.0039603,40,0,3.7e-006,3.8e-006,
131,0.0162641,0.004011,41.6667,1e-007,3.5e-006,3.9e-006,
132,0.0160785,0.0040489,38.4615,2e-007,4.1e-006,4.1e-006,
133,0.0161975,0.0041809,40,1e-007,4.2e-006,4.3e-006,
134,0.0166689,0.0041137,40,1e-007,2.9e-006,4.3e-006,
135,0.0164064,0.0042658,38.4615,2e-007,3.3e-006,4e-006,
136,0.0164903,0.00422,38.4615,1e-007,3.1e-006,3.9e-006,
137,0.0165608,0.0044767,40,1e-007,3.8e-006,4.6e-006,
138,0.017079,0.004223,37.037,1e-007,3.1e-006,3.9e-006,
139,0.0172252,0.0046682,38.4615,1e-007,4.9e-006,4.5e-006,
140,0.0180551,0.0044554,35.7143,1e-007,4e-006,4.4e-006,
141,0.0170741,0.0043203,37.037,1e-007,3.6e-006,4.6e-006,
142,0.0171604,0.0045462,38.4615,2e-007,3.8e-006,4e-006,
143,0.0174623,0.0046359,38.4615,2e-007,3.1e-006,4e-006,
144,0.0174477,0.0044538,37.037,1e-007,2.5e-006,4.5e-006,
145,0.017759,0.0044403,38.4615,1e-007,2.6e-006,3.9e-006,
146,0.0176536,0.0045435,37.037,2e-007,3.9e-006,4.2e-006,
147,0.0177512,0.0046911,37.037,2e-007,3.9e-006,4.6e-006,
148,0.0182207,0.00471,37.037,1e-007,2.7e-006,3.9e-006,
149,0.0181115,0.0045525,37.037,1e-007,5.3e-006,4.5e-006,
150,0.018225,0.0048836,37.037,0,3e-006,3.9e-006,
151,0.0184418,0.0046395,35.7143,1e-007,2.8e-006,4.3e-006,
152,0.0184562,0.0049418,37.037,1e-007,4.6e-006,5.2e-006,
153,0.018766,0.004821,34.4828,1e-007,2.8e-006,3.9e-006,
154,0.0187407,0.0047077,35.7143,1e-007,2.5e-006,4.1e-006,
155,0.0189183,0.0048199,37.037,1e-007,3.2e-006,3.9e-006,
156,0.0191209,0.0048703,34.4828,1e-007,3e-006,3.8e-006,
157,0.0192196,0.0047913,35.7143,1e-007,2.7e-006,3.8e-006,
158,0.0193932,0.0048314,35.7143,1e-007,4e-006,4.1e-006,
159,0.0192011,0.0050992,35.7143,1e-007,3.4e-006,4.3e-006,
160,0.0194153,0.0050044,34.4828,1e-007,2.6e-006,3.9e-006,
161,0.0196022,0.0049148,34.4828,1e-007,2.6e-006,3.7e-006,
162,0.0198951,0.0053249,35.7143,1e-007,3.8e-006,4.5e-006,
163,0.0197822,0.00507,33.3333,1e-007,2.7e-006,4.1e-006,
164,0.0198329,0.0049923,34.4828,1e-007,2.5e-006,4.6e-006,
165,0.0200689,0.0050581,34.4828,1e-007,3.6e-006,4.1e-006,
166,0.0204599,0.0051375,34.4828,1e-007,3.6e-006,4.4e-006,
167,0.0202382,0.0054288,33.3333,0,3.1e-006,4.4e-006,
168,0.0206909,0.0054144,33.3333,0,2.5e-006,4.1e-006,
169,0.020483,0.0052123,33.3333,1e-007,2.7e-006,3.7e-006,
170,0.020744,0.0053248,33.3333,2e-007,3e-006,4.3e-006,
171,0.0211459,0.0053269,33.3333,1e-007,3.3e-006,4e-006,
172,0.0210717,0.0053342,32.2581,1e-007,2.4e-006,3.7e-006,
173,0.020956,0.0053698,32.2581,1e-007,2.7e-006,3.9e-006,
174,0.0212052,0.0053164,33.3333,0,2.6e-006,3.9e-006,
175,0.0212551,0.0053572,32.2581,0,2.5e-006,3.7e-006,
176,0.021311,0.0054989,33.3333,1e-007,3.3e-006,4.7e-006,
177,0.0214099,0.0054164,32.2581,1e-007,4e-006,4.8e-006,
178,0.02152,0.005587,32.2581,2e-007,2.8e-006,5.3e-006,
179,0.0216796,0.0056408,31.25,1e-007,4.8e-006,4.7e-006,
180,0.0222517,0.0058754,32.2581,0,2.9e-006,3.8e-006,
181,0.0222622,0.0058303,30.303,0,2.8e-006,3.8e-006,
182,0.0224054,0.0057509,31.25,1e-007,2.7e-006,3.8e-006,
183,0.0225824,0.005776,31.25,1e-007,3e-006,4.3e-006,
184,0.0223699,0.005819,30.303,1e-007,2.9e-006,3.8e-006,
185,0.0228759,0.0056764,31.25,1e-007,2.8e-006,3.8e-006,
186,0.0226337,0.005693,30.303,0,3.3e-006,4e-006,
187,0.0232563,0.0056938,30.303,0,2.9e-006,3.8e-006,
188,0.0231031,0.0057641,30.303,1e-007,2.4e-006,4.2e-006,
189,0.0229207,0.0057703,30.303,1e-007,2.7e-006,4e-006,
190,0.0231303,0.0058213,30.303,1e-007,3e-006,4e-006,
191,0.0239456,0.0060153,30.303,1e-007,3.4e-006,4.2e-006,
192,0.023722,0.0060201,29.4118,1e-007,2.4e-006,4e-006,
193,0.0237558,0.0059317,29.4118,1e-007,2.6e-006,4.2e-006,
194,0.0235155,0.0059547,29.4118,1e-007,3.3e-006,3.9e-006,
195,0.0239571,0.0059578,29.4118,1e-007,3.3e-006,3.9e-006,
196,0.0240738,0.0061259,29.4118,1e-007,2.7e-006,3.8e-006,
197,0.0239116,0.0063241,28.5714,1e-007,2.7e-006,3.9e-006,
198,0.0241535,0.00618,29.4118,1e-007,2.8e-006,4e-006,
199,0.0245565,0.0064258,28.5714,1e-007,2.4e-006,3.6e-006,
200,0.0242014,0.0062815,28.5714,2e-007,3.3e-006,4.1e-006,
201,0.0245368,0.0065161,28.5714,1e-007,3.1e-006,4e-006,
202,0.0244604,0.0063324,28.5714,2e-007,3e-006,4.6e-006,
203,0.0259113,0.0062126,28.5714,1e-007,4.6e-006,4.2e-006,
204,0.0247695,0.0062394,27.027,1e-007,3.7e-006,4.2e-006,
205,0.024808,0.0064609,28.5714,1e-007,2.7e-006,3.8e-006,
206,0.0251826,0.0064479,27.7778,0,3.6e-006,4.2e-006,
207,0.0251478,0.0063935,27.7778,0,2.4e-006,4.5e-006,
208,0.0251723,0.0065307,27.7778,0,2.7e-006,3.7e-006,
209,0.0255513,0.0064713,27.7778,2e-007,3.4e-006,3.8e-006,
210,0.0255773,0.0066887,27.7778,1e-007,3.1e-006,4.1e-006,
211,0.0255995,0.0066765,27.027,1e-007,2.5e-006,4.2e-006,
212,0.0257363,0.0070435,27.027,1e-007,3.3e-006,4.2e-006,
213,0.025778,0.0066864,27.027,1e-007,3e-006,3.7e-006,
214,0.0259063,0.0066157,27.7778,2e-007,3.9e-006,4.6e-006,
215,0.0261728,0.0066236,26.3158,0,3.4e-006,4.1e-006,
216,0.0261344,0.0065984,27.027,1e-007,2.7e-006,3.8e-006,
217,0.0262689,0.0067899,27.7778,1e-007,2.5e-006,4.1e-006,
218,0.0268738,0.0067228,26.3158,1e-007,3.6e-006,5.4e-006,
219,0.0265927,0.0068242,25.641,1e-007,2.4e-006,3.8e-006,
220,0.0266453,0.0071815,26.3158,0,2.9e-006,4.3e-006,
221,0.0268264,0.0071417,25.641,1e-007,3.9e-006,4.2e-006,
222,0.0271698,0.0070909,25.641,1e-007,3.9e-006,4.2e-006,
223,0.0269637,0.0071398,25.641,1e-007,2.5e-006,3.9e-006,
224,0.0272315,0.0069981,26.3158,0,3.1e-006,3.9e-006,
225,0.027681,0.0069372,25.641,1e-007,2.7e-006,4e-006,
226,0.0275602,0.0074307,25,1e-007,3.1e-006,3.9e-006,
227,0.0276055,0.0070488,25.641,1e-007,3.7e-006,4.9e-006,
228,0.0278082,0.0069909,25,1e-007,3.4e-006,3.8e-006,
229,0.027787,0.007175,25.641,1e-007,2.5e-006,3.8e-006,
230,0.0278868,0.0070616,25.641,1e-007,3.2e-006,4.5e-006,
231,0.0279967,0.0072092,25.641,0,3.3e-006,3.9e-006,
232,0.0301826,0.0092694,25.641,1e-007,4.2e-006,4.3e-006,
233,0.0295298,0.00716,22.2222,1e-007,2.9e-006,3.8e-006,
234,0.0292154,0.0080894,25,1e-007,2.5e-006,3.8e-006,
235,0.0294823,0.0072713,23.8095,1e-007,3e-006,3.9e-006,
236,0.0293426,0.008466,24.3902,0,3.9e-006,4.1e-006,
237,0.0294253,0.0073963,23.8095,1e-007,2.6e-006,4e-006,
238,0.0298411,0.0075033,23.8095,1e-007,2.9e-006,4e-006,
239,0.0300356,0.0073729,23.8095,0,2.9e-006,4.1e-006,
240,0.0306294,0.0080945,24.3902,1e-007,2.6e-006,4.5e-006,
241,0.0301424,0.0076763,23.2558,0,3.7e-006,4.2e-006,
242,0.0302097,0.0075533,23.2558,2e-007,5.5e-006,4.8e-006,
243,0.0305141,0.0083999,22.7273,1e-007,3e-006,4.1e-006,
244,0.0303647,0.0075567,22.2222,2e-007,4e-006,4.3e-006,
245,0.0307802,0.0076988,23.8095,1e-007,3.6e-006,3.9e-006,
246,0.0303074,0.0078301,23.2558,1e-007,3.3e-006,4e-006,
247,0.0304796,0.0076821,23.2558,0,4.9e-006,4.6e-006,
248,0.0305451,0.0078819,23.8095,1e-007,3.1e-006,3.9e-006,
249,0.03078,0.0076782,22.7273,0,4.3e-006,4.2e-006,
250,0.0316057,0.0084908,23.2558,0,2.9e-006,4e-006,
251,0.0306743,0.0080704,22.2222,1e-007,4.1e-006,4.2e-006,
252,0.0311442,0.0077865,23.2558,1e-007,4.9e-006,4.5e-006,
253,0.0309677,0.00828,22.7273,0,2.8e-006,3.9e-006,
254,0.0309428,0.0079137,22.7273,1e-007,3.1e-006,4.2e-006,
255,0.0317897,0.0080325,22.7273,0,2.9e-006,4.2e-006,
256,0.0318974,0.0085046,22.7273,1e-007,2.5e-006,3.9e-006,
257,0.0311607,0.0079737,21.7391,1e-007,2.7e-006,4e-006,
258,0.0315579,0.0080149,23.2558,0,2.5e-006,4.3e-006,
259,0.0313889,0.008636,22.7273,1e-007,2.6e-006,4.3e-006,
260,0.0322726,0.0080607,22.7273,2e-007,4.3e-006,4.4e-006,
261,0.0315874,0.0081537,22.2222,1e-007,2.8e-006,3.8e-006,
262,0.0318153,0.0087279,22.7273,1e-007,2.5e-006,4.2e-006,
263,0.0324246,0.0082052,22.2222,2e-007,4.9e-006,4.4e-006,
264,0.0319638,0.0081719,21.7391,1e-007,2.8e-006,4.1e-006,
265,0.0325449,0.0088854,22.7273,1e-007,2.8e-006,3.9e-006,
266,0.0331908,0.0082245,21.7391,1e-007,2.9e-006,4e-006,
267,0.0322833,0.0082429,22.2222,1e-007,3.7e-006,4.1e-006,
268,0.0328233,0.0090801,22.2222,1e-007,2.7e-006,3.8e-006,
269,0.0327718,0.0085841,21.7391,0,3.4e-006,4e-006,
270,0.03276,0.0085062,21.7391,0,3.4e-006,4.4e-006,
271,0.0329775,0.0084538,22.2222,1e-007,4.6e-006,4.3e-006,
272,0.0332253,0.0085531,21.7391,1e-007,3.1e-006,3.9e-006,
273,0.0333602,0.0089749,21.7391,0,2.5e-006,3.9e-006,
274,0.0343585,0.0084752,21.2766,0,2.7e-006,4.3e-006,
275,0.0339196,0.0085198,21.2766,1e-007,4.3e-006,4.1e-006,
276,0.0334893,0.0085292,21.2766,1e-007,3.6e-006,5e-006,
277,0.0344799,0.0086719,21.2766,1e-007,2.7e-006,3.6e-006,
278,0.0335505,0.0093637,21.2766,5e-007,3.1e-006,3.9e-006,
279,0.0340808,0.0088339,21.2766,0,2.7e-006,3.8e-006,
280,0.0340559,0.0086755,20.8333,1e-007,2.8e-006,3.8e-006,
281,0.0347007,0.0087926,21.7391,1e-007,4.8e-006,4.1e-006,
282,0.0341019,0.0087628,20.4082,1e-007,3.5e-006,4.1e-006,
283,0.0344198,0.0095342,21.2766,1e-007,2.6e-006,3.9e-006,
284,0.0344291,0.0088915,20.8333,0,3.2e-006,4e-006,
285,0.0346426,0.0097957,21.2766,1e-007,2.8e-006,4.1e-006,
286,0.0361778,0.009844,20.4082,1e-007,3.1e-006,4e-006,
287,0.0359509,0.0097499,20,0,3.4e-006,4.2e-006,
288,0.034932,0.009059,20,1e-007,2.5e-006,3.8e-006,
289,0.0351025,0.0089991,20.8333,1e-007,3.3e-006,4e-006,
290,0.035177,0.0090847,20.4082,0,3.3e-006,4.5e-006,
291,0.0352501,0.0092585,20.8333,1e-007,3.4e-006,4.1e-006,
292,0.0361316,0.0093131,20.4082,1e-007,4.5e-006,4.4e-006,
293,0.0354765,0.0090797,20,1e-007,3.2e-006,4.1e-006,
294,0.0358984,0.0092316,20.4082,2e-007,4.4e-006,4.1e-006,
295,0.0358253,0.0092817,20.4082,1e-007,3.6e-006,4e-006,
296,0.0357797,0.009379,20,1e-007,5.5e-006,5.2e-006,
297,0.0367326,0.0095742,20.4082,2e-007,3.3e-006,4.3e-006,
298,0.0369036,0.0092472,19.6078,1e-007,4e-006,4.1e-006,
299,0.0363911,0.0092546,19.6078,2e-007,3e-006,4.1e-006,
300,0.0362803,0.0095351,20,1e-007,3.9e-006,4.2e-006,
301,0.0364145,0.0093395,20.4082,1e-007,2.8e-006,4e-006,
302,0.03683,0.0095112,20,1e-007,4e-006,4.6e-006,
303,0.0365593,0.0093782,19.6078,2e-007,3.2e-006,3.9e-006,
304,0.0367417,0.0095151,20,1e-007,4.4e-006,4.7e-006,
305,0.0368764,0.0094495,19.6078,1e-007,4e-006,4.3e-006,
306,0.0371955,0.0094584,19.6078,0,3.9e-006,4e-006,
307,0.0372659,0.0095771,19.6078,1e-007,2.7e-006,4e-006,
308,0.0373089,0.0095984,19.6078,1e-007,3e-006,4.1e-006,
309,0.0378117,0.009672,19.6078,1e-007,3e-006,3.9e-006,
310,0.0376991,0.0101581,19.2308,1e-007,2.6e-006,4.2e-006,
311,0.0375815,0.0103345,18.8679,1e-007,3e-006,3.9e-006,
312,0.037889,0.009783,19.2308,1e-007,3.7e-006,4.9e-006,
313,0.0377224,0.0102032,19.2308,1e-007,2.4e-006,4.6e-006,
314,0.0379267,0.0098159,18.8679,1e-007,3.6e-006,4.3e-006,
315,0.038175,0.0100669,19.6078,1e-007,5.4e-006,4.6e-006,
316,0.0383815,0.0098328,18.8679,0,3.1e-006,3.8e-006,
317,0.0384772,0.0100814,18.8679,1e-007,3.5e-006,4e-006,
318,0.0385138,0.0105897,19.2308,1e-007,2.9e-006,4.5e-006,
319,0.0384605,0.0100916,18.5185,1e-007,2.5e-006,4.1e-006,
320,0.0387106,0.0100902,19.2308,4e-007,4.1e-006,4.4e-006,
321,0.0389765,0.010056,18.5185,2e-007,2.8e-006,3.9e-006,
322,0.039163,0.0103444,18.8679,1e-007,3.2e-006,4e-006,
323,0.0392664,0.0104164,18.1818,1e-007,2.5e-006,4.9e-006,
324,0.0393464,0.0101748,18.1818,1e-007,4.5e-006,4.7e-006,
325,0.0394359,0.0101591,18.1818,2e-007,4.1e-006,4.3e-006,
326,0.0397035,0.010414,18.5185,1e-007,3.7e-006,4.3e-006,
327,0.0398531,0.0104443,18.1818,1e-007,2.9e-006,4.1e-006,
328,0.0407364,0.0103865,18.1818,1e-007,3.6e-006,5.2e-006,
329,0.0398217,0.010711,17.2414,2e-007,3.7e-006,4.3e-006,
330,0.0402891,0.010453,17.8571,2e-007,3.5e-006,5.5e-006,
331,0.0404187,0.0102875,18.1818,0,3.4e-006,4.4e-006,
332,0.0401637,0.0108963,17.5439,0,2.8e-006,4.2e-006,
333,0.0407584,0.0103381,18.1818,1e-007,4.2e-006,4.8e-006,
334,0.0404942,0.0107816,17.5439,1e-007,3.5e-006,4.1e-006,
335,0.0405925,0.0107404,17.8571,2e-007,3.4e-006,4.3e-006,
336,0.0411959,0.01044,17.5439,1e-007,3.8e-006,5.1e-006,
337,0.042188,0.0111279,17.5439,1e-007,3.8e-006,4.6e-006,
338,0.0419645,0.0105706,16.9492,1e-007,5.3e-006,4.6e-006,
339,0.0414406,0.0116583,17.5439,1e-007,4e-006,4.5e-006,
340,0.0426056,0.0106924,17.5439,2e-007,6.1e-006,5.4e-006,
341,0.0432103,0.0120661,17.2414,0,2.8e-006,4.2e-006,
342,0.04333,0.0112861,16.6667,1e-007,4.2e-006,5.4e-006,
343,0.0423159,0.0122083,16.9492,2e-007,3.8e-006,4.2e-006,
344,0.0423229,0.010802,16.9492,2e-007,5.3e-006,4.9e-006,
345,0.0422601,0.0115688,17.2414,1e-007,3.1e-006,4.2e-006,
346,0.0430224,0.0110855,17.2414,0,6.3e-006,4.7e-006,
347,0.0426047,0.0118098,16.9492,1e-007,2.8e-006,4.4e-006,
348,0.0437289,0.0109246,17.2414,1e-007,4.8e-006,4.5e-006,
349,0.0431344,0.0114798,16.9492,1e-007,3.5e-006,4.3e-006,
350,0.0438239,0.0109499,16.9492,1e-007,4e-006,5e-006,
351,0.0437449,0.0117525,16.6667,1e-007,2.9e-006,4.6e-006,
352,0.0432264,0.0113492,16.3934,1e-007,2.9e-006,4e-006,
353,0.0443305,0.011058,16.9492,2e-007,6.3e-006,5.3e-006,
354,0.0436583,0.0116958,16.3934,1e-007,2.7e-006,4.1e-006,
355,0.0451494,0.0112007,16.9492,2e-007,4.7e-006,4.7e-006,
356,0.0448581,0.0114793,16.3934,0,3.1e-006,4.4e-006,
357,0.0441699,0.0118008,16.6667,1e-007,2.9e-006,4.1e-006,
358,0.0439107,0.0112177,16.3934,1e-007,4.9e-006,4.8e-006,
359,0.0443168,0.0117683,16.9492,1e-007,2.8e-006,4.3e-006,
360,0.0441033,0.0116691,16.3934,1e-007,3.4e-006,4.6e-006,
361,0.0446008,0.0116479,16.9492,1e-007,3.8e-006,4.4e-006,
362,0.0440774,0.0119087,16.3934,1e-007,2.7e-006,4e-006,
363,0.0449107,0.0114311,16.6667,0,3.9e-006,4.3e-006,
364,0.0448946,0.0120775,16.3934,1e-007,3.4e-006,4.2e-006,
365,0.0445722,0.0117632,16.3934,2e-007,3e-006,4.6e-006,
366,0.0443998,0.0116335,16.3934,0,3.1e-006,4.8e-006,
367,0.044962,0.0119105,16.3934,1e-007,3.1e-006,4.9e-006,
368,0.0445655,0.011817,16.3934,2e-007,3.8e-006,4.9e-006,
369,0.0449251,0.0114822,16.3934,1e-007,3.6e-006,4.9e-006,
370,0.0447315,0.0120059,16.3934,1e-007,3.2e-006,4.1e-006,
